,transcript,MiSeqSFPQc.csv,MiSeqNONOc.csv,#name,chrom,strand,txStart,txEnd,cdsStart,cdsEnd,exonCount,exonStarts,exonEnds,proteinID,alignID,Unnamed: 0,#kgID,mRNA,spID,spDisplayID,geneSymbol,refseq,protAcc,description,rfamAcc,tRnaName
473,uc003xum.3,,['G2762.1'],uc003xum.3,chr8,-,62536268,62627199,62538831,62626930,14,"62536268,62546241,62550505,62550880,62555446,62555944,62556503,62557158,62559308,62563608,62566126,62593526,62596597,62626827,","62538839,62546286,62550562,62550922,62555479,62555992,62556560,62557191,62559437,62563683,62566219,62593595,62596747,62627199,",Q12797-2,uc003xum.3,73592,uc003xum.3,NM_032466,Q12797-2,Q12797-2,ASPH,NM_032466,NP_115855,"Homo sapiens aspartate beta-hydroxylase (ASPH), transcript variant 3, mRNA.",,
474,uc004ebq.1,,['G3087.1' 'G3090.1'],uc004ebq.1,chrX,-,73421436,73461983,73421436,73421436,2,"73421436,73461767,","73423744,73461983,",uc004ebq.1,,79829,uc004ebq.1,AK125301,,,AK125301,,,"Homo sapiens cDNA FLJ43311 fis, clone NT2RI2009855.",,
475,uc001tsj.3,,['G783.1'],uc001tsj.3,chr12,-,111890017,112037480,111890615,112037318,25,"111890017,111891480,111893832,111895017,111902465,111907911,111908361,111923074,111923516,111924564,111926279,111947352,111947694,111948188,111951160,111953957,111956052,111957682,111958685,111962995,111990083,111990709,111991961,111993686,112036587,","111890644,111891649,111894060,111895163,111902519,111908044,111908546,111923135,111923669,111924628,111926584,111947423,111947802,111948386,111951343,111954167,111956231,111957880,111958777,111963120,111990234,111990781,111992021,111993723,112037480,",Q99700,uc001tsj.3,18989,uc001tsj.3,NM_002973,Q99700,ATX2_HUMAN,ATXN2,NM_002973,NP_002964,"Homo sapiens ataxin 2 (ATXN2), mRNA.",,
476,uc021ofq.1,,['G8.1'],uc021ofq.1,chr1,+,6845383,6948261,6845590,6947785,4,"6845383,6880240,6885151,6947713,","6845635,6880310,6885270,6948261,",G3V3Z7,uc021ofq.1,232,uc021ofq.1,NM_001242701,G3V3Z7,G3V3Z7_HUMAN,CAMTA1,NM_001242701,NP_001229630,"Homo sapiens calmodulin binding transcription activator 1 (CAMTA1), transcript variant 3, mRNA.",,
477,uc021rlx.1,,['G825.1'],uc021rlx.1,chr13,+,99857961,99858260,99857961,99857961,1,"99857961,","99858260,",uc021rlx.1,,81940,uc021rlx.1,,,,7SK,,,Rfam model RF00100 hit found at contig region AL160155.19/3050-3348,RF00100,
478,uc002xvc.4,,['G1646.1'],uc002xvc.4,chr20,-,48697660,48732496,48699304,48732060,4,"48697660,48700665,48732021,48732366,","48699451,48700791,48732158,48732496,",Q13404-6,uc002xvc.4,46906,uc002xvc.4,NM_022442,Q13404-6,Q13404-6,UBE2V1,NM_022442,NP_071887,"Homo sapiens ubiquitin-conjugating enzyme E2 variant 1 (UBE2V1), transcript variant 3, mRNA.",,
479,uc003upu.2,,['G2600.1'],uc003upu.2,chr7,-,98625057,98741743,98628206,98741403,19,"98625057,98630659,98633137,98634689,98636010,98638000,98639740,98643320,98645306,98647185,98648537,98648979,98649827,98652412,98654827,98655040,98658221,98659421,98741348,","98628306,98630744,98633339,98634810,98636148,98638179,98639855,98643424,98645505,98647332,98648615,98649064,98650069,98652488,98654893,98655174,98658330,98659460,98741743,",Q9HCE7,uc003upu.2,71076,uc003upu.2,NM_020429,Q9HCE7,SMUF1_HUMAN,SMURF1,NM_020429,NP_065162,"Homo sapiens SMAD specific E3 ubiquitin protein ligase 1 (SMURF1), transcript variant 1, mRNA.",,
480,uc021rcx.2,,['G710.1'],uc021rcx.2,chr12,+,104609556,104744085,104609580,104742199,17,"104609556,104645304,104651796,104682708,104705067,104707022,104709554,104712690,104713247,104714868,104719114,104720124,104721292,104725311,104728014,104732916,104742130,","104609671,104645456,104651857,104682818,104705190,104707095,104709674,104712833,104713363,104715094,104719207,104720201,104721449,104725419,104728110,104733051,104744085,",Q16881,uc021rcx.2,16984,uc021rcx.2,NM_001093771,Q16881,TRXR1_HUMAN,TXNRD1,NM_001093771,,"Homo sapiens thioredoxin reductase 1 (TXNRD1), transcript variant 5, mRNA.",,
481,uc002lsm.3,,['G1284.1' 'G1287.1'],uc002lsm.3,chr19,+,1407583,1435682,1407772,1433826,13,"1407583,1417498,1418202,1418664,1421146,1422346,1425876,1428840,1429965,1430220,1432512,1433737,1434735,","1407801,1417539,1418369,1418730,1421257,1422395,1425959,1428994,1429995,1430361,1432689,1433826,1435682,",Q96EP5-2,uc002lsm.3,35573,uc002lsm.3,NM_170711,Q96EP5-2,Q96EP5-2,DAZAP1,NM_170711,NP_733829,"Homo sapiens DAZ associated protein 1 (DAZAP1), transcript variant 1, mRNA.",,
482,uc001czw.3,,['G40.1'],uc001czw.3,chr1,+,61547979,61928460,61548463,61920992,11,"61547979,61553820,61743191,61798183,61818121,61824818,61848908,61869775,61872233,61892136,61920974,","61548490,61554352,61743257,61798258,61818239,61824946,61849037,61869954,61872399,61892228,61928460,",Q12857,uc001czw.3,1405,uc001czw.3,NM_001134673,Q12857,NFIA_HUMAN,NFIA,NM_001134673,NP_001128145,"Homo sapiens nuclear factor I/A (NFIA), transcript variant 1, mRNA.",,
483,uc001lxc.3,,['G541.1'],uc001lxc.3,chr11,-,2965659,3013607,2970488,3000450,16,"2965659,2970456,2972488,2973009,2975756,2976973,2979628,2980999,2985909,2991032,2992677,2993331,2997253,2999513,3000436,3013483,","2966876,2970494,2972545,2973039,2975876,2976996,2979774,2981139,2985981,2991164,2992764,2993473,2997353,2999572,3000467,3013607,",Q99733,uc001lxc.3,13435,uc001lxc.3,NM_005969,Q99733,NP1L4_HUMAN,NAP1L4,NM_005969,NP_005960,"Homo sapiens nucleosome assembly protein 1-like 4 (NAP1L4), mRNA.",,
484,uc011bpl.1,,['G1888.1' 'G1889.1'],uc011bpl.1,chr3,-,168867390,169381563,168867408,169381160,3,"168867390,169098974,169381123,","168867543,169099312,169381563,",Q13465,uc011bpl.1,53777,uc011bpl.1,AB527916,Q13465,MDS1_HUMAN,MECOM,,,"Homo sapiens MDS1 and EVI1 complex locus (MECOM), transcript variant 4, mRNA.",,
485,uc022but.1,,['G3028.1'],uc022but.1,chrX,+,37208527,37301477,37265502,37300121,4,"37208527,37265461,37285092,37300043,","37208648,37265512,37285253,37301477,",C9JXL7,uc022but.1,77923,uc022but.1,NM_001173486,C9JXL7,C9JXL7_HUMAN,PRRG1,NM_001173486,NP_001166957,"Homo sapiens proline rich Gla (G-carboxyglutamic acid) 1 (PRRG1), transcript variant 5, mRNA.",,
486,uc022buu.1,,['G3028.1'],uc022buu.1,chrX,+,37208582,37316548,37265502,37312874,5,"37208582,37245851,37265461,37285092,37312388,","37208722,37245942,37265512,37285253,37316548,",O14668,uc022buu.1,77922,uc022buu.1,NM_001173489,O14668,TMG1_HUMAN,PRRG1,NM_001173489,NP_001166961,"Homo sapiens proline rich Gla (G-carboxyglutamic acid) 1 (PRRG1), transcript variant 3, mRNA.",,
487,uc003qob.3,,['G2342.1'],uc003qob.3,chr6,+,151186814,151423023,151186958,151413692,28,"151186814,151197225,151198769,151198908,151203897,151206769,151208980,151226785,151239712,151243340,151247257,151257939,151259834,151265621,151266602,151270166,151277130,151281410,151286104,151293082,151330954,151334914,151336015,151336651,151355628,151358100,151413602,151422661,","151187185,151197310,151198820,151198962,151204022,151206870,151209117,151226897,151239804,151243438,151247431,151258076,151259881,151265729,151266677,151270269,151277207,151281551,151286173,151293194,151331094,151334956,151336116,151336829,151355736,151358253,151413723,151423023,",Q6UB35,uc003qob.3,62011,uc003qob.3,NM_015440,Q6UB35,C1TM_HUMAN,MTHFD1L,NM_015440,NP_056255,"Homo sapiens methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like (MTHFD1L), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.",,
488,uc001dnw.3,,['G200.1' 'G201.1'],uc001dnw.3,chr1,-,91380856,91487812,91382354,91447910,6,"91380856,91383608,91403041,91403828,91447866,91487546,","91382547,91383711,91403647,91406866,91447927,91487812,",Q9H582,uc001dnw.3,5546,uc001dnw.3,NM_201269,Q9H582,ZN644_HUMAN,ZNF644,NM_201269,NP_958357,"Homo sapiens zinc finger protein 644 (ZNF644), transcript variant 1, mRNA.",,
489,uc022amh.1,,['G2627.1'],uc022amh.1,chr7,+,137638093,137642712,137638214,137642571,4,"137638093,137639993,137641329,137642463,","137638270,137640082,137641391,137642712,",NP_001230452,uc022amh.1,69696,uc022amh.1,NM_001243523,,,LOC100130880,NM_001243523,NP_001230452,"Homo sapiens uncharacterized LOC100130880 (LOC100130880), mRNA.",,
490,uc011mfi.2,,['G3009.1'],uc011mfi.2,chrM,+,7586,9208,7586,7586,1,"7586,","9208,",uc011mfi.2,,77535,uc011mfi.2,JA760613,,,OK/SW-cl.16,,,"Homo sapiens mRNA expressed only in placental villi, clone SMAP42.",,
491,uc001tsh.3,,['G783.1'],uc001tsh.3,chr12,-,111890017,112037477,111890615,111991994,26,"111890017,111891480,111892848,111893832,111895017,111902465,111907911,111908361,111923074,111923516,111924564,111926279,111947352,111947694,111948188,111951160,111953957,111956052,111957682,111958685,111962995,111990083,111990709,111991961,111993686,112037378,","111890644,111891649,111892923,111894060,111895163,111902519,111908044,111908546,111923135,111923669,111924628,111926584,111947423,111947802,111948386,111951343,111954167,111956231,111957880,111958777,111963120,111990234,111990781,111992021,111993723,112037477,",F8VQP2,uc001tsh.3,18990,uc001tsh.3,BC111757,F8VQP2,F8VQP2_HUMAN,ATXN2,NM_002973,NP_002964,"Homo sapiens ataxin 2 (ATXN2), mRNA.",,
492,uc021rdb.2,,['G710.1'],uc021rdb.2,chr12,+,104680459,104744085,104705103,104742199,14,"104680459,104705067,104707022,104709554,104712690,104713247,104714868,104719114,104720124,104721292,104725311,104728014,104732916,104742130,","104680887,104705190,104707095,104709674,104712833,104713363,104715094,104719207,104720201,104721449,104725419,104728110,104733051,104744085,",Q16881,uc021rdb.2,16989,uc021rdb.2,NM_182743,Q16881,TRXR1_HUMAN,TXNRD1,NM_182743,,"Homo sapiens thioredoxin reductase 1 (TXNRD1), transcript variant 4, mRNA.",,
493,uc002ywg.1,,['G1681.1'],uc002ywg.1,chr21,+,38739858,38845182,38739858,38739858,3,"38739858,38792600,38844985,","38739930,38792686,38845182,",uc002ywg.1,,47347,uc002ywg.1,AB015283,,,DYRK1A,,,"Homo sapiens dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A (DYRK1A), transcript variant 3, mRNA.",,
494,uc031rtz.1,,['G1646.1'],uc031rtz.1,chr20,-,48697660,48729735,48699304,48729665,3,"48697660,48713208,48729643,","48699451,48713357,48729735,",Q5TGE0,uc031rtz.1,46905,uc031rtz.1,NM_001257396,Q5TGE0,Q5TGE0_HUMAN,UBE2V1,NM_001257396,NP_001244325,"Homo sapiens ubiquitin-conjugating enzyme E2 variant 1 (UBE2V1), transcript variant 8, mRNA.",,
495,uc001czy.3,,['G40.1'],uc001czy.3,chr1,+,61542945,61928460,61543297,61920992,11,"61542945,61553820,61743191,61798183,61818121,61824818,61848908,61869775,61872233,61892136,61920974,","61543300,61554352,61743257,61798258,61818239,61824946,61849037,61869954,61872399,61892228,61928460,",F5H0R0,uc001czy.3,1406,uc001czy.3,NM_001145511,F5H0R0,F5H0R0_HUMAN,NFIA,NM_001145511,NP_001138983,"Homo sapiens nuclear factor I/A (NFIA), transcript variant 3, mRNA.",,
496,uc002vee.4,,['G1457.1' 'G1458.1'],uc002vee.4,chr2,+,211421322,211543831,211421457,211542709,38,"211421322,211438021,211441069,211442144,211444437,211447340,211452781,211454829,211455523,211456554,211457602,211459231,211460210,211464095,211465278,211466925,211469825,211471454,211473084,211476840,211481146,211502425,211503873,211504719,211507207,211512586,211513196,211515086,211518748,211521248,211523322,211525208,211527846,211532909,211539625,211540451,211541730,211542610,","211421583,211438131,211441214,211442234,211444494,211447433,211452871,211454958,211455630,211456693,211457680,211459330,211460306,211464285,211465436,211467054,211469970,211471665,211473283,211477017,211481265,211502567,211503939,211504783,211507389,211512781,211513264,211515162,211518826,211521356,211523412,211525379,211527921,211533008,211539685,211540564,211541860,211543831,",P31327,uc002vee.4,42284,uc002vee.4,NM_001875,P31327,CPSM_HUMAN,CPS1,NM_001875,NP_001116106,"Homo sapiens carbamoyl-phosphate synthase 1, mitochondrial (CPS1), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.",,
497,uc010oql.3,,['G192.1'],uc010oql.3,chr1,+,67773046,67862583,67786051,67861772,14,"67773046,67786015,67787284,67792417,67793882,67795269,67796342,67804306,67816552,67833507,67845668,67852261,67855711,67861229,","67773650,67786127,67787572,67792532,67794067,67795412,67796493,67804386,67816772,67833708,67845806,67852352,67855811,67862583,",F5H7L6,uc010oql.3,1529,uc010oql.3,NM_001258215,F5H7L6,F5H7L6_HUMAN,IL12RB2,NM_001258215,NP_001245144,"Homo sapiens interleukin 12 receptor, beta 2 (IL12RB2), transcript variant 3, mRNA.",,
498,uc010fus.3,,['G1458.1'],uc010fus.3,chr2,+,211458078,211543831,211460300,211542709,28,"211458078,211459231,211460210,211464095,211465278,211466925,211469825,211471454,211473084,211476840,211481146,211502425,211503873,211504719,211507207,211512586,211513196,211515086,211518748,211521248,211523322,211525208,211527846,211532909,211539625,211540451,211541730,211542610,","211458398,211459330,211460306,211464285,211465436,211467054,211469970,211471665,211473283,211477017,211481265,211502567,211503939,211504783,211507389,211512781,211513264,211515162,211518826,211521356,211523412,211525379,211527921,211533008,211539685,211540564,211541860,211543831,",NP_001116106,uc010fus.3,42285,uc010fus.3,NM_001122634,P31327,CPSM_HUMAN,CPS1,NM_001122634,NP_001116106,"Homo sapiens carbamoyl-phosphate synthase 1, mitochondrial (CPS1), transcript variant 3, mRNA.",,
499,uc001cov.3,,['G27.1'],uc001cov.3,chr1,+,46269284,46501796,46269567,46501738,29,"46269284,46290104,46295110,46348035,46425057,46463395,46468476,46471912,46473967,46476401,46485267,46487621,46488581,46488904,46489443,46491348,46493402,46494439,46495137,46495502,46495800,46496278,46496678,46497062,46497849,46498267,46499473,46499744,46500209,","46269744,46290252,46295253,46348067,46425149,46463471,46468555,46472067,46474043,46476611,46485369,46487754,46488643,46488990,46489652,46491487,46493535,46494605,46495239,46495625,46495910,46496433,46496962,46497257,46498076,46498390,46499610,46499938,46501796,",Q6P0Q8,uc001cov.3,1223,uc001cov.3,NM_015112,Q6P0Q8,MAST2_HUMAN,MAST2,NM_015112,NP_055927,"Homo sapiens microtubule associated serine/threonine kinase 2 (MAST2), mRNA.",,
500,uc001ddu.3,,['G192.1'],uc001ddu.3,chr1,+,67773046,67862583,67786051,67861772,16,"67773046,67786015,67787284,67792417,67793882,67795269,67796342,67804306,67816552,67833507,67838118,67838307,67845668,67852261,67855711,67861229,","67773650,67786127,67787572,67792532,67794067,67795412,67796493,67804386,67816772,67833708,67838217,67838466,67845806,67852352,67855811,67862583,",Q99665,uc001ddu.3,1527,uc001ddu.3,NM_001559,Q99665,I12R2_HUMAN,IL12RB2,NM_001559,NP_001550,"Homo sapiens interleukin 12 receptor, beta 2 (IL12RB2), transcript variant 1, mRNA.",,
501,uc010oqn.3,,['G192.1'],uc010oqn.3,chr1,+,67773046,67862583,67773046,67773046,14,"67773046,67786015,67787284,67792417,67793882,67795269,67796342,67804306,67816552,67833507,67838118,67845668,67855711,67861229,","67773650,67786127,67787572,67792532,67794067,67795412,67796493,67804386,67816772,67833708,67838217,67845806,67855811,67862583,",uc010oqn.3,,1531,uc010oqn.3,NR_047583,,,IL12RB2,NM_001258214,,"Homo sapiens interleukin 12 receptor, beta 2 (IL12RB2), transcript variant 5, non-coding RNA.",,
502,uc031rua.1,,['G1646.1'],uc031rua.1,chr20,-,48697660,48729735,48699304,48729665,4,"48697660,48700665,48713208,48729643,","48699451,48700791,48713348,48729735,",NP_001244324,uc031rua.1,46894,uc031rua.1,NM_001257395,Q13404-7,Q13404-7,UBE2V1,NM_001257395,NP_001244324,"Homo sapiens ubiquitin-conjugating enzyme E2 variant 1 (UBE2V1), transcript variant 7, mRNA.",,
503,uc031tas.1,,['G2664.1'],uc031tas.1,chr8,+,28912742,28914744,28912742,28912742,1,"28912742,","28914744,",uc031tas.1,,72234,uc031tas.1,DQ591785,,,DQ591785,,,"Homo sapiens cDNA FLJ38918 fis, clone NT2NE2010633.",,
504,uc003xun.3,,['G2762.1'],uc003xun.3,chr8,-,62536268,62627199,62538831,62626930,13,"62536268,62546241,62550505,62550880,62555446,62555944,62556503,62557158,62563608,62566126,62593526,62596597,62626827,","62538839,62546286,62550562,62550922,62555479,62555992,62556560,62557191,62563683,62566219,62593595,62596747,62627199,",Q12797-6,uc003xun.3,73593,uc003xun.3,NM_001164755,Q12797-6,Q12797-6,ASPH,NM_001164755,NP_001158227,"Homo sapiens aspartate beta-hydroxylase (ASPH), transcript variant 11, mRNA.",,
505,uc001ygd.3,,['G956.1'],uc001ygd.3,chr14,-,99876140,99947226,99876510,99932142,9,"99876140,99879287,99880212,99924615,99925449,99927528,99929822,99932039,99947064,","99876552,99879402,99880271,99924872,99925522,99927677,99929915,99932150,99947226,",Q86TU7-2,uc001ygd.3,23246,uc001ygd.3,NM_199123,Q86TU7-2,Q86TU7-2,SETD3,NM_199123,NP_954574,"Homo sapiens SET domain containing 3 (SETD3), transcript variant 2, mRNA.",,
506,uc021rda.2,,['G710.1'],uc021rda.2,chr12,+,104680459,104744085,104705103,104742199,14,"104680459,104705067,104707022,104709554,104712690,104713247,104714868,104719114,104720124,104721292,104725311,104728014,104732916,104742130,","104681124,104705190,104707095,104709674,104712833,104713363,104715094,104719207,104720201,104721449,104725419,104728110,104733051,104744085,",Q16881,uc021rda.2,16988,uc021rda.2,NM_182742,Q16881,TRXR1_HUMAN,TXNRD1,NM_182742,,"Homo sapiens thioredoxin reductase 1 (TXNRD1), transcript variant 2, mRNA.",,
507,uc010ngx.2,,['G3028.1'],uc010ngx.2,chrX,+,37245851,37301477,37245851,37245851,5,"37245851,37262953,37265461,37285092,37300063,","37245942,37263030,37265512,37285253,37301477,",uc010ngx.2,,77926,uc010ngx.2,BC053662,,,PRRG1,,,"Homo sapiens proline rich Gla (G-carboxyglutamic acid) 1 (PRRG1), transcript variant 5, mRNA.",,
508,uc003jfh.1,,['G2094.1'],uc003jfh.1,chr5,+,14293120,14489274,14293120,14488429,43,"14293120,14297180,14304569,14316621,14330886,14336644,14358286,14359465,14363840,14364758,14366968,14368816,14369482,14374337,14378120,14381238,14387546,14387840,14388721,14389397,14390339,14391009,14394146,14397151,14398988,14401071,14405956,14406681,14419886,14461127,14462863,14465653,14471426,14472700,14474102,14477002,14479369,14480027,14481342,14481649,14482690,14485177,14487572,","14293243,14297372,14304701,14316852,14331009,14336836,14358456,14359640,14364036,14364925,14367088,14369008,14369632,14374452,14378236,14381361,14387741,14387956,14388788,14389507,14390409,14391099,14394239,14397263,14399179,14401173,14406099,14406781,14420130,14461420,14463034,14465749,14471575,14472767,14474206,14477072,14479459,14480120,14481393,14481727,14482882,14485355,14489274,",O75962-5,uc003jfh.1,57054,uc003jfh.1,AB209754,O75962-5,O75962-5,TRIO,NM_007118,NP_009049,"Homo sapiens trio Rho guanine nucleotide exchange factor (TRIO), mRNA.",,
509,uc001vod.3,,['G825.1'],uc001vod.3,chr13,+,99853162,100038753,99896828,100037589,9,"99853162,99890680,99896085,99896768,99966350,99970275,99992573,100020040,100037481,","99853821,99890808,99896205,99896878,99966474,99970323,99992819,100020160,100038753,",Q8NBM4,uc001vod.3,19800,uc001vod.3,NR_026644,Q8NBM4,UBAC2_HUMAN,UBAC2,NR_026644,,"Homo sapiens UBA domain containing 2 (UBAC2), transcript variant 3, non-coding RNA.",,
510,uc004ddn.3,,['G3028.1'],uc004ddn.3,chrX,+,37208527,37316548,37265502,37312874,5,"37208527,37245851,37265461,37285092,37312388,","37208648,37245942,37265512,37285253,37316548,",O14668,uc004ddn.3,77921,uc004ddn.3,NM_000950,O14668,TMG1_HUMAN,PRRG1,NM_000950,NP_001166961,"Homo sapiens proline rich Gla (G-carboxyglutamic acid) 1 (PRRG1), transcript variant 1, mRNA.",,
511,uc001tsk.3,,['G783.1'],uc001tsk.3,chr12,-,111890017,112037480,111890017,111890017,24,"111890017,111891480,111893832,111895017,111902465,111907911,111908361,111923516,111924564,111926279,111947352,111947694,111948188,111951160,111953957,111956052,111957682,111958685,111962995,111990083,111990709,111991961,111993686,112036587,","111890644,111891649,111894060,111895163,111902519,111908044,111908546,111923669,111924628,111926584,111947423,111947802,111948386,111951343,111954167,111956231,111957880,111958777,111963120,111990234,111990781,111992021,111993723,112037480,",uc001tsk.3,,18991,uc001tsk.3,Y08262,,,ATXN2,,,"Homo sapiens ataxin 2 (ATXN2), mRNA.",,
512,uc002xvf.3,,['G1646.1'],uc002xvf.3,chr20,-,48697660,48770335,48699304,48770174,8,"48697660,48700665,48713208,48744511,48746082,48747392,48760038,48770053,","48699451,48700791,48713357,48744724,48746227,48747484,48760158,48770335,",NP_954673,uc002xvf.3,46893,uc002xvf.3,NM_199203,G3V2F7,G3V2F7_HUMAN,TMEM189-UBE2V1,NM_199203,NP_954673,"Homo sapiens TMEM189-UBE2V1 readthrough (TMEM189-UBE2V1), mRNA.",,
513,uc003upv.2,,['G2600.1'],uc003upv.2,chr7,-,98625057,98741743,98628206,98741403,18,"98625057,98630659,98633137,98634689,98636010,98638000,98639740,98643320,98645306,98647185,98648979,98649827,98652412,98654827,98655040,98658221,98659421,98741348,","98628306,98630744,98633339,98634810,98636148,98638179,98639855,98643424,98645505,98647332,98649064,98650069,98652488,98654893,98655174,98658330,98659460,98741743,",Q9HCE7-2,uc003upv.2,71077,uc003upv.2,NM_181349,Q9HCE7-2,Q9HCE7-2,SMURF1,NM_181349,NP_851994,"Homo sapiens SMAD specific E3 ubiquitin protein ligase 1 (SMURF1), transcript variant 2, mRNA.",,
514,uc011kgj.1,,['G2591.1'],uc011kgj.1,chr7,-,75956107,75988342,75958893,75988125,2,"75956107,75988038,","75959550,75988342,",P61981,uc011kgj.1,70894,uc011kgj.1,NM_012479,P61981,1433G_HUMAN,YWHAG,NM_012479,NP_036611,"Homo sapiens tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide (YWHAG), mRNA.",,
515,uc031ruc.1,,['G1646.1'],uc031ruc.1,chr20,-,48697660,48729735,48699304,48713253,5,"48697660,48700665,48713208,48725509,48729643,","48699451,48700791,48713357,48725648,48729735,",NP_001244327,uc031ruc.1,46897,uc031ruc.1,NM_001257398,Q13404,UB2V1_HUMAN,UBE2V1,NM_001257398,NP_001244327,"Homo sapiens ubiquitin-conjugating enzyme E2 variant 1 (UBE2V1), transcript variant 10, mRNA.",,
516,uc001tsi.3,,['G783.1'],uc001tsi.3,chr12,-,111890017,112037477,111890615,111991994,22,"111890017,111891480,111893832,111895017,111907911,111908361,111923074,111923516,111924564,111926279,111947352,111947694,111948188,111951160,111953957,111956052,111957682,111958685,111962995,111990083,111991961,112037378,","111890644,111891649,111894060,111895163,111908044,111908546,111923135,111923669,111924628,111926584,111947423,111947802,111948386,111951343,111954167,111956231,111957880,111958777,111963120,111990234,111992021,112037477,",Q24JQ7,uc001tsi.3,18992,uc001tsi.3,BC114546,Q24JQ7,Q24JQ7_HUMAN,ATXN2,NM_002973,NP_002964,"Homo sapiens ataxin 2 (ATXN2), mRNA.",,
517,uc010yyz.2,,['G1528.1'],uc010yyz.2,chr2,-,122095351,122407052,122098436,122363471,39,"122095351,122104613,122106087,122120747,122122669,122125163,122135074,122144697,122145338,122154715,122155897,122159084,122161946,122165046,122166599,122168441,122182714,122184979,122187648,122202514,122204912,122205851,122206528,122208488,122209365,122215262,122216415,122217555,122218676,122220107,122227383,122260742,122273240,122283420,122285374,122286252,122287822,122363276,122406947,","122098523,122104730,122106294,122120876,122122860,122125407,122135225,122144804,122145482,122154859,122155976,122159248,122162010,122165291,122166623,122168545,122182882,122185006,122187753,122202538,122205083,122205901,122206696,122208566,122209425,122215333,122216551,122217701,122218769,122220181,122227536,122260810,122273338,122283496,122285466,122286356,122287901,122363756,122407052,",A2RU21,uc010yyz.2,43951,uc010yyz.2,NM_001142273,A2RU21,A2RU21_HUMAN,CLASP1,NM_001142273,NP_001135745,"Homo sapiens cytoplasmic linker associated protein 1 (CLASP1), transcript variant 2, mRNA.",,
518,uc021rcz.2,,['G710.1'],uc021rcz.2,chr12,+,104680459,104744085,104705103,104742199,15,"104680459,104682708,104705067,104707022,104709554,104712690,104713247,104714868,104719114,104720124,104721292,104725311,104728014,104732916,104742130,","104680887,104682818,104705190,104707095,104709674,104712833,104713363,104715094,104719207,104720201,104721449,104725419,104728110,104733051,104744085,",Q16881,uc021rcz.2,16987,uc021rcz.2,NM_182729,Q16881,TRXR1_HUMAN,TXNRD1,NM_182729,,"Homo sapiens thioredoxin reductase 1 (TXNRD1), transcript variant 3, mRNA.",,
519,uc001ibl.3,,['G256.1' 'G257.1'],uc001ibl.3,chr1,-,245912641,246670644,245912864,246670519,12,"245912641,245927342,246021797,246027100,246078831,246091232,246093171,246490502,246493781,246498668,246518332,246670355,","245912966,245927451,246021972,246027188,246078942,246091335,246093239,246490639,246493839,246498776,246518396,246670644,",Q9H7B4,uc001ibl.3,7680,uc001ibl.3,NM_001167740,Q9H7B4,SMYD3_HUMAN,SMYD3,NM_001167740,NP_073580,"Homo sapiens SET and MYND domain containing 3 (SMYD3), transcript variant 1, mRNA.",,
520,uc021rcy.2,,['G710.1'],uc021rcy.2,chr12,+,104680459,104744085,104681114,104742199,15,"104680459,104682708,104705067,104707022,104709554,104712690,104713247,104714868,104719114,104720124,104721292,104725311,104728014,104732916,104742130,","104681124,104682818,104705190,104707095,104709674,104712833,104713363,104715094,104719207,104720201,104721449,104725419,104728110,104733051,104744085,",Q16881-4,uc021rcy.2,16986,uc021rcy.2,NM_003330,Q16881-4,Q16881-4,TXNRD1,NM_003330,,"Homo sapiens thioredoxin reductase 1 (TXNRD1), transcript variant 1, mRNA.",,
521,uc001ymi.1,,['G958.1'],uc001ymi.1,chr14,-,103398715,103523742,103400048,103523510,37,"103398715,103404440,103404642,103405946,103406166,103406382,103406563,103410227,103411998,103412804,103414057,103416101,103416802,103418834,103420534,103420938,103425967,103429397,103430838,103432618,103433382,103434589,103434808,103436487,103438255,103440352,103442020,103442219,103444462,103447109,103449892,103452823,103465901,103470264,103474808,103478433,103523335,","103400180,103404511,103404748,103406064,103406284,103406467,103406661,103410824,103412061,103413021,103414139,103416241,103416939,103418940,103420612,103421025,103426047,103429492,103430987,103432724,103433507,103434695,103435053,103436598,103438498,103440486,103442140,103442386,103444542,103447358,103450093,103452917,103466050,103470360,103474892,103478525,103523742,",Q9Y5S2,uc001ymi.1,23294,uc001ymi.1,NM_006035,Q9Y5S2,MRCKB_HUMAN,CDC42BPB,NM_006035,NP_006026,"Homo sapiens CDC42 binding protein kinase beta (DMPK-like) (CDC42BPB), mRNA.",,
522,uc004ddo.3,,['G3028.1'],uc004ddo.3,chrX,+,37208527,37316548,37265502,37312874,4,"37208527,37265461,37285092,37312388,","37208648,37265512,37285253,37316548,",O14668,uc004ddo.3,77924,uc004ddo.3,NM_001142395,O14668,TMG1_HUMAN,PRRG1,NM_001142395,NP_001166961,"Homo sapiens proline rich Gla (G-carboxyglutamic acid) 1 (PRRG1), transcript variant 2, mRNA.",,
